IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,FLOW_DURATION_MILLISECONDS,OUT_PKTS,OUT_BYTES,IN_PKTS,IN_BYTES,L7_PROTO,TCP_FLAGS,Attack
192.168.1.13,59594,13.231.211.201,443,6,1406,13,7489,7,1285,TLS.Alibaba,31,Benign
119.84.90.153,52870,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,tcp
0.135.55.169,61559,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,udp
54.220.136.73,16686,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,tcp
182.61.200.48,443,192.168.1.15,41884,6,0,2,120,2,114,TLS,16,Benign
192.168.1.15,54926,36.150.27.109,10021,6,57,12,1218,8,544,Unknown,26,Benign
183.236.51.229,10030,192.168.1.15,34454,6,37,4,264,6,402,Unknown,21,Benign
212.205.163.213,9411,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,udp
192.168.1.13,58870,13.231.211.201,443,6,0,1,78,0,0,TLS,0,Benign
192.168.1.13,50879,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,tcp
192.168.1.13,20788,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,udp
164.135.239.127,35825,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,tcp
192.168.1.13,62175,103.195.103.66,9993,17,0,1,179,0,0,BitTorrent,0,Benign
192.168.1.13,9993,185.152.67.145,9993,17,0,2,336,0,0,BitTorrent,0,Benign
192.168.1.13,57558,13.231.211.201,443,6,340,7,1797,7,572,TLS,29,Benign
60.173.199.163,15226,192.168.1.13,80,6,1,1,60,1,60,HTTP,4,udp
192.168.1.13,59135,13.231.211.201,443,6,97,1,60,1,66,TLS,16,Benign
192.168.1.13,58216,13.231.211.201,443,6,246,5,2754,5,1575,TLS,24,Benign
255.54.241.22,44805,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,tcp
192.168.1.13,4828,192.168.1.13,80,6,5856,18,1080,0,0,HTTP,2,udp
192.168.1.13,24936,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,tcp
209.92.118.169,63859,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,udp
192.168.1.13,62175,103.195.103.66,9993,17,0,1,179,0,0,Unknown,0,Benign
192.168.1.15,40156,120.238.86.250,10027,6,0,2,148,0,0,Unknown,2,Benign
92.148.236.228,35852,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,tcp
192.168.1.13,45744,185.152.67.145,9993,17,1,4,300,0,0,BitTorrent,0,Benign
fe80::61d9:409b:5a46:eec1,5353,ff02::fb,5353,17,0,2,192,0,0,MDNS,0,Benign
192.168.1.13,58015,45.56.98.223,443,6,308,2,402,1,1071,TLS,24,Benign
192.168.1.253,443,192.168.1.13,57555,6,0,1,60,1,60,TLS,16,Benign
106.212.54.87,27203,192.168.1.13,80,6,0,1,60,0,0,HTTP,0,udp
192.168.1.13,10423,192.168.1.13,80,6,1370,3,180,0,0,HTTP,2,tcp
192.168.1.15,44418,222.199.191.38,443,6,110,82,11368,48,33438,TLS,31,Benign
192.168.1.115,58285,114.55.178.236,1893,6,35,1,74,1,60,Alibaba,20,Benign
183.236.51.229,11002,192.168.1.15,57460,6,34,4,264,6,402,Unknown,21,Benign
119.45.215.191,7000,192.168.1.115,42070,6,85,2,166,2,166,TLS,24,Benign
218.204.238.59,10002,192.168.1.15,51316,6,45,4,264,6,402,Unknown,21,Benign
fe80::7e62:ed36:4c49:4ae4,0,ff02::1:ff49:4ae4,0,58,0,2,172,0,0,ICMPV6,0,Benign
192.168.1.13,24965,192.168.1.13,80,6,828,2,120,0,0,HTTP,2,udp
13.231.211.201,443,192.168.1.13,59260,6,99,5,415,3,198,TLS,29,Benign
