IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,FLOW_DURATION_MILLISECONDS,OUT_PKTS,OUT_BYTES,IN_PKTS,IN_BYTES,L7_PROTO,TCP_FLAGS,Attack
192.168.31.80,56765,192.168.31.148,22,6,1701,10,1362,12,1336,SSH,24,Benign
192.168.31.148,58404,205.147.105.78,443,6,47,1,66,1,66,TLS,16,Benign
192.168.31.148,22,192.168.31.80,56765,6,2055,32,5280,21,3690,SSH,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,586,3,336,3,254,SSH,24,Benign
192.168.31.148,22,192.168.31.80,56765,6,46,1,146,1,60,SSH,16,Benign
104.208.16.89,443,192.168.31.148,48366,6,1080,10,5720,11,8187,TLS,25,Benign
192.168.31.80,56765,192.168.31.148,22,6,490,18,4226,23,4394,SSH,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,569,4,396,4,400,SSH,24,Benign
8.8.8.8,53,192.168.31.148,47456,6,47,2,132,1,66,DNS,17,Benign
192.168.31.80,56765,192.168.31.148,22,6,1402,46,29380,61,32302,SSH,24,Benign
192.168.31.148,22,192.168.31.80,56765,6,1175,4,484,4,366,SSH,24,Benign
192.168.31.148,54692,51.116.253.169,443,6,446,2,2939,2,231,TLS,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.148,22,192.168.31.80,56765,6,49,1,146,1,60,SSH,16,Benign
192.168.31.80,56765,192.168.31.148,22,6,573,2,238,2,192,SSH,24,Benign
192.168.31.148,22,192.168.31.80,56765,6,57,1,138,1,60,SSH,16,Benign
205.147.105.78,443,192.168.31.148,58404,6,0,1,93,1,66,TLS,16,Benign
192.168.31.148,49550,192.200.0.115,443,6,206,1,66,1,66,TLS,16,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.148,46732,140.82.112.22,443,6,264,2,171,1,105,TLS,24,Benign
192.168.31.148,60426,114.114.114.114,53,17,38,1,100,1,187,DNS.Github,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,596,2,238,2,192,SSH,24,Benign
192.168.31.148,36863,114.114.114.114,53,17,37,1,100,1,116,DNS.Github,0,Benign
192.168.31.148,22,192.168.31.80,56765,6,55,1,138,1,60,SSH,16,Benign
192.168.31.148,47462,8.8.8.8,53,6,95,5,457,4,509,DNS,26,Benign
192.168.31.148,22,192.168.31.80,56765,6,962,5,510,4,506,SSH,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,602,2,246,2,200,SSH,24,Benign
192.168.31.148,22,192.168.31.80,56765,6,56,1,138,1,60,SSH,16,Benign
20.205.243.168,443,192.168.31.148,56900,6,87,3,261,4,240,TLS,29,Benign
192.168.31.148,50023,114.55.178.236,31854,6,32,2,134,1,68,MQTT,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,6922,125,25262,146,25488,SSH,24,Benign
fe80::242:fc3a:c1b1:98f8,546,ff02::1:2,547,17,0,1,139,0,0,DHCPV6,0,Benign
192.168.31.148,54692,51.116.253.169,443,6,250,2,2939,2,226,TLS,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.148,22,192.168.31.80,56765,6,3939,23,3538,31,3882,SSH,24,Benign
192.168.31.148,22,192.168.31.80,56765,6,539,3,362,3,266,SSH,24,Benign
192.200.0.115,443,192.168.31.148,49550,6,0,1,151,1,66,TLS,16,Benign
192.168.31.80,56765,192.168.31.148,22,6,1408,3,376,3,254,SSH,24,Benign
192.168.31.148,22,192.168.31.80,56765,6,49,1,138,1,60,SSH,16,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
8.8.8.8,53,192.168.31.148,47462,6,48,2,132,1,66,DNS,17,Benign
192.168.31.80,56765,192.168.31.148,22,6,51,2,206,2,216,SSH,24,Benign
192.168.31.148,54692,51.116.253.169,443,6,298,2,2956,2,231,TLS,24,Benign
192.168.31.148,47466,8.8.8.8,53,6,95,5,457,5,624,DNS,26,Benign
192.168.31.148,39843,114.114.114.114,53,17,38,1,100,1,187,DNS.Github,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,1729,6,610,6,624,SSH,24,Benign
8.8.8.8,53,192.168.31.148,47466,6,48,2,132,1,66,DNS,17,Benign
192.168.31.80,56765,192.168.31.148,22,6,53,2,214,1,162,SSH,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,586,4,460,4,432,SSH,24,Benign
192.168.31.148,22,192.168.31.80,56765,6,1011,4,408,4,404,SSH,24,Benign
192.168.31.148,58404,205.147.105.78,443,6,47,1,66,1,66,TLS,16,Benign
192.168.31.148,58404,205.147.105.78,443,6,47,1,66,1,66,TLS,16,Benign
192.168.31.148,54512,140.82.114.21,443,6,746,3,276,2,183,TLS,24,Benign
192.168.31.148,54572,140.82.114.21,443,6,1204,15,7093,13,7587,TLS,31,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,7716,90,17552,95,14814,SSH,24,Benign
140.82.112.22,443,192.168.31.148,46732,6,8,1,105,2,132,TLS,20,Benign
192.168.31.148,49550,192.200.0.115,443,6,205,1,66,1,66,TLS,16,Benign
192.168.31.148,54568,140.82.114.21,443,6,1166,15,6795,12,7522,TLS,31,Benign
205.147.105.78,443,192.168.31.148,58404,6,0,1,93,1,66,TLS,16,Benign
192.168.31.148,22,192.168.31.80,56765,6,4478,27,3590,29,3470,SSH,24,Benign
192.168.31.148,47472,8.8.8.8,53,6,95,5,418,5,554,DNS.Canonical,26,Benign
192.168.31.148,39337,114.114.114.114,53,17,39,1,85,1,133,DNS.Canonical,0,Benign
192.168.31.148,48227,185.125.190.58,123,17,0,1,90,0,0,NTP,0,Benign
192.168.31.148,47472,8.8.8.8,53,6,49,4,362,2,494,DNS.Canonical,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,3159,37,7512,45,8070,SSH,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,1308,5,534,5,454,SSH,24,Benign
192.168.31.148,22,192.168.31.80,56765,6,58,1,146,1,60,SSH,16,Benign
8.8.8.8,53,192.168.31.148,47472,6,47,2,132,1,66,DNS,17,Benign
192.168.31.80,56765,192.168.31.148,22,6,59,2,214,2,232,SSH,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,593,2,246,2,200,SSH,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.148,22,192.168.31.80,56765,6,49,1,138,1,60,SSH,16,Benign
192.168.31.148,54692,51.116.253.169,443,6,233,2,171,1,105,TLS,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,2649,26,3380,22,3180,SSH,24,Benign
192.168.31.148,38100,114.114.114.114,53,17,37,1,85,1,169,DNS.Canonical,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,1004,4,474,4,308,SSH,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,266,4,452,5,578,SSH,24,Benign
192.168.31.148,43802,185.125.190.56,123,17,0,1,90,0,0,NTP,0,Benign
192.200.0.115,443,192.168.31.148,49550,6,0,1,151,1,66,TLS,16,Benign
192.168.31.80,56765,192.168.31.148,22,6,9158,94,17416,85,16290,SSH,24,Benign
192.168.31.148,54692,51.116.253.169,443,6,233,2,2958,2,231,TLS,24,Benign
192.168.31.148,50023,114.55.178.236,31854,6,32,2,134,1,68,MQTT,24,Benign
140.82.114.21,443,192.168.31.148,54512,6,293,3,261,4,240,TLS,29,Benign
192.168.31.148,58404,205.147.105.78,443,6,48,1,66,1,66,TLS,16,Benign
192.168.31.148,34971,114.114.114.114,53,17,36,1,100,1,187,DNS.Github,0,Benign
192.168.31.148,47476,8.8.8.8,53,6,95,5,457,4,509,DNS,26,Benign
192.168.31.148,57928,114.114.114.114,53,17,39,1,100,1,116,DNS.Github,0,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.148,46778,140.82.112.22,443,6,1197,14,6526,12,7524,TLS,31,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
8.8.8.8,53,192.168.31.148,47476,6,48,2,132,1,66,DNS,17,Benign
192.168.31.148,58404,205.147.105.78,443,6,47,1,66,1,66,TLS,16,Benign
192.168.31.148,49550,192.200.0.115,443,6,205,1,66,1,66,TLS,16,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.200.0.115,443,192.168.31.148,49550,6,0,1,151,1,66,TLS,16,Benign
205.147.105.78,443,192.168.31.148,58404,6,0,1,93,1,66,TLS,16,Benign
192.168.31.148,54692,51.116.253.169,443,6,233,2,171,1,105,TLS,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,62744,814,157088,807,171270,SSH,24,Benign
fe80::242:fc3a:c1b1:98f8,546,ff02::1:2,547,17,0,1,139,0,0,DHCPV6,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,206,3,344,3,254,SSH,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,7194,99,11560,91,12614,SSH,24,Benign
192.168.31.148,50023,114.55.178.236,31854,6,33,2,134,1,68,MQTT,24,Benign
192.168.31.148,54692,51.116.253.169,443,6,232,2,171,1,105,TLS,24,Benign
192.168.31.148,58404,205.147.105.78,443,6,47,1,66,1,66,TLS,16,Benign
192.168.31.148,49550,192.200.0.115,443,6,206,1,66,1,66,TLS,16,Benign
192.168.31.148,54692,51.116.253.169,443,6,236,2,2939,2,231,TLS,24,Benign
192.168.31.148,58404,205.147.105.78,443,6,47,1,66,1,66,TLS,16,Benign
192.168.31.80,56765,192.168.31.148,22,6,9635,111,13984,98,14076,SSH,24,Benign
205.147.105.78,443,192.168.31.148,58404,6,0,1,93,1,66,TLS,16,Benign
192.168.31.148,55756,114.114.114.114,53,17,39,1,100,1,184,DNS.Canonical,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,1740,5,520,6,684,SSH,24,Benign
192.168.31.148,36590,185.125.190.57,123,17,0,1,90,0,0,NTP,0,Benign
192.168.31.148,47492,8.8.8.8,53,6,95,5,457,5,575,DNS,26,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.200.0.115,443,192.168.31.148,49550,6,0,1,151,1,66,TLS,16,Benign
192.168.31.80,56765,192.168.31.148,22,6,14837,241,31164,241,34978,SSH,24,Benign
192.168.31.148,57184,140.82.112.21,443,6,1258,14,7416,12,7523,TLS,31,Benign
8.8.8.8,53,192.168.31.148,47492,6,48,2,132,1,66,DNS,17,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.148,38296,185.125.190.101,80,6,690,6,503,4,457,HTTP.Canonical,27,Benign
192.168.31.148,54692,51.116.253.169,443,6,233,2,2939,2,226,TLS,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,28734,293,34460,272,37812,SSH,24,Benign
192.168.31.148,50023,114.55.178.236,31854,6,32,2,134,1,68,MQTT,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.148,49550,192.200.0.115,443,6,205,1,66,1,66,TLS,16,Benign
192.168.31.80,56765,192.168.31.148,22,6,5696,34,5084,41,5666,SSH,24,Benign
192.168.31.148,58404,205.147.105.78,443,6,48,1,66,1,66,TLS,16,Benign
192.168.31.148,22,192.168.31.80,56765,6,45,1,146,1,60,SSH,16,Benign
192.168.31.148,58404,205.147.105.78,443,6,47,1,66,1,66,TLS,16,Benign
192.168.31.80,56765,192.168.31.148,22,6,3802,30,3374,22,3696,SSH,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
