IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,FLOW_DURATION_MILLISECONDS,OUT_PKTS,OUT_BYTES,IN_PKTS,IN_BYTES,L7_PROTO,TCP_FLAGS,Attack
192.168.31.101,1573,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Dos_UDP_flood
192.168.31.101,1574,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,46706,20.42.65.84,443,6,1496,10,4913,8,5588,TLS,27,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1578,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.101,1575,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,50023,114.55.178.236,31854,6,32,2,134,1,68,MQTT,24,Dos_UDP_flood
192.168.31.101,1580,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1576,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1582,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1577,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1581,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1585,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.101,1584,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1583,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1579,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1589,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1590,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,46710,20.42.65.84,443,6,1445,11,6743,8,5588,TLS,27,Dos_UDP_flood
192.168.31.101,1591,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1594,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.101,1586,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,58404,205.147.105.78,443,6,48,1,66,1,66,TLS,16,Dos_UDP_flood
192.168.31.101,1593,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,49550,192.200.0.115,443,6,206,1,66,1,66,TLS,16,Dos_UDP_flood
192.168.31.101,1592,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1595,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1587,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.101,1596,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1600,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1599,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1601,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.101,1588,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1598,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1603,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1605,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1606,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
192.168.31.101,1607,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
192.168.31.148,0,192.168.31.101,0,1,0,1,70,0,0,ICMP,0,Dos_UDP_flood
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Dos_UDP_flood
192.168.31.101,1608,192.168.31.148,80,17,0,1,60,0,0,Unknown,0,Dos_UDP_flood
